0.9,0.0,121,3864,4119
0.91,0.0,112,3657,3914
0.92,0.0,96,3709,4206
0.93,0.0,128,3686,4034
0.94,0.0,128,3637,3994
0.95,0.0,113,3792,4188
0.96,0.0,131,3630,3939
0.97,0.0,127,3859,4065
0.98,0.0,141,3799,3987
0.99,0.0,117,3997,4135
1.0,0.0,122,3891,4115
0.9,0.01,127,3712,3994
0.91,0.01,120,3902,4047
0.92,0.01,115,4124,4282
0.93,0.01,123,3813,4063
0.94,0.01,105,3862,4169
0.95,0.01,118,3801,4059
0.96,0.01,110,3871,4174
0.97,0.01,119,3822,4197
0.98,0.01,148,3670,3975
0.99,0.01,118,3701,4031
1.0,0.01,119,3515,3925
0.9,0.02,132,3716,4016
0.91,0.02,120,3773,4051
0.92,0.02,122,3714,4066
0.93,0.02,111,4115,4224
0.94,0.02,120,3904,4091
0.95,0.02,143,3757,3995
0.96,0.02,107,3648,3906
0.97,0.02,124,3757,3948
0.98,0.02,148,3955,4192
0.99,0.02,119,3895,4173
1.0,0.02,121,3991,4236
0.9,0.03,133,3757,4053
0.91,0.03,122,4081,4222
0.92,0.03,129,3846,4052
0.93,0.03,130,3640,3952
0.94,0.03,107,3771,4149
0.95,0.03,106,4024,4252
0.96,0.03,122,3645,4049
0.97,0.03,122,3680,4049
0.98,0.03,121,3586,3898
0.99,0.03,127,3700,4174
1.0,0.03,121,4074,4343
0.9,0.04,123,3881,4104
0.91,0.04,126,3912,4091
0.92,0.04,116,3731,4034
0.93,0.04,123,3697,3965
0.94,0.04,125,3988,4191
0.95,0.04,126,3874,4172
0.96,0.04,113,3901,4045
0.97,0.04,135,3867,4107
0.98,0.04,124,3774,4007
0.99,0.04,131,3866,4051
1.0,0.04,123,3731,4062
0.9,0.05,123,3565,3950
0.91,0.05,129,3575,4001
0.92,0.05,124,4019,4118
0.93,0.05,108,4047,4220
0.94,0.05,133,3822,4053
0.95,0.05,127,3865,4169
0.96,0.05,117,3734,3973
0.97,0.05,114,3546,3922
0.98,0.05,121,3970,4162
0.99,0.05,127,3603,3971
1.0,0.05,117,3742,3966
